S130C	2015-10-20 08:06:08
value unit [W]	time unit [ms]
wavelength	532.000nm
range	AUTO
1.553183E-06	39
1.549138E-06	340
1.545905E-06	639
1.542894E-06	940
1.539832E-06	1239
1.536917E-06	1540
1.534110E-06	1839
1.531068E-06	2140
1.528716E-06	2439
1.525757E-06	2740
1.523260E-06	3039
1.521030E-06	3340
1.518379E-06	3639
1.516029E-06	3940
1.513990E-06	4239
1.511333E-06	4540
1.509293E-06	4839
1.506943E-06	5140
1.504885E-06	5439
1.502391E-06	5740
1.500454E-06	6039
1.498570E-06	6340
1.496698E-06	6639
1.494748E-06	6941
1.492746E-06	7240
1.490912E-06	7541
1.489283E-06	7840
1.487522E-06	8141
1.485635E-06	8440
1.484040E-06	8741
1.482572E-06	9040
1.481111E-06	9341
1.479653E-06	9640
1.478056E-06	9941
1.477022E-06	10240
1.475877E-06	10541
1.474761E-06	10840
1.473905E-06	11141
1.473311E-06	11440
1.472351E-06	11741
1.471879E-06	12040
1.471183E-06	12341
1.470753E-06	12640
1.470594E-06	12941
1.470313E-06	13240
1.470082E-06	13541
1.469858E-06	13840
1.469692E-06	14141
1.469418E-06	14440
1.469210E-06	14742
1.469069E-06	15041
1.468889E-06	15342
1.468686E-06	15641
1.468445E-06	15942
1.468253E-06	16241
1.468191E-06	16542
1.468243E-06	16841
1.467925E-06	17142
1.467806E-06	17441
1.467723E-06	17742
1.467603E-06	18041
1.467606E-06	18342
1.467383E-06	18641
1.467229E-06	18942
1.467070E-06	19241
1.466927E-06	19542
1.466943E-06	19841
1.466555E-06	20142
1.466973E-06	20441
1.466887E-06	20742
1.466252E-06	21041
1.466047E-06	21342
1.465892E-06	21641
1.465725E-06	21942
1.465676E-06	22241
1.465417E-06	22543
1.465223E-06	22842
1.464896E-06	23143
1.464718E-06	23442
1.464501E-06	23743
1.464221E-06	24042
1.464145E-06	24343
1.464139E-06	24642
1.464113E-06	24943
1.464027E-06	25242
1.463716E-06	25543
1.463540E-06	25842
1.463462E-06	26143
1.463464E-06	26442
1.463337E-06	26743
1.463072E-06	27042
1.462942E-06	27343
1.462691E-06	27642
1.462489E-06	27943
1.462531E-06	28242
1.462469E-06	28543
1.462413E-06	28842
1.462382E-06	29143
1.462208E-06	29442
1.462014E-06	29743
1.461800E-06	30045
1.461505E-06	30345
1.461357E-06	30645
1.461233E-06	30945
1.461014E-06	31245
1.460721E-06	31551
1.460632E-06	31853
1.460466E-06	32153
1.460547E-06	32453
1.460391E-06	32753
1.459817E-06	33053
1.459785E-06	33353
1.459544E-06	33653
1.459719E-06	33953
1.459715E-06	34253
1.459574E-06	34553
1.459866E-06	34853
1.459482E-06	35153
1.459189E-06	35453
1.459143E-06	35753
1.459146E-06	36053
1.459018E-06	36353
1.458771E-06	36653
1.458563E-06	36953
1.458411E-06	37253
1.458027E-06	37553
1.458049E-06	37854
1.457823E-06	38154
1.457793E-06	38454
1.457707E-06	38754
1.457619E-06	39054
1.457198E-06	39354
1.457036E-06	39654
1.456807E-06	39954
1.456648E-06	40254
1.456493E-06	40554
1.456256E-06	40854
1.456139E-06	41154
1.455992E-06	41454
1.455937E-06	41754
1.455813E-06	42054
1.455722E-06	42354
1.455434E-06	42654
1.455228E-06	42954
1.455050E-06	43254
1.454764E-06	43554
1.454719E-06	43854
1.454588E-06	44154
1.454311E-06	44454
1.454110E-06	44754
1.454049E-06	45054
1.453891E-06	45355
1.453546E-06	45655
1.453312E-06	45955
1.453110E-06	46255
1.452896E-06	46555
1.452794E-06	46855
1.452651E-06	47155
1.452337E-06	47455
1.452043E-06	47755
1.452008E-06	48055
1.451728E-06	48355
1.451523E-06	48655
1.451284E-06	48955
1.451068E-06	49255
1.450915E-06	49555
1.450838E-06	49855
1.450565E-06	50155
1.450610E-06	50455
1.450353E-06	50755
1.450155E-06	51055
1.449987E-06	51355
1.449689E-06	51655
1.449608E-06	51955
1.449698E-06	52255
1.449384E-06	52555
1.449201E-06	52855
1.449045E-06	53156
1.448799E-06	53456
1.448528E-06	53756
1.448505E-06	54056
1.448150E-06	54356
1.448136E-06	54656
1.447886E-06	54956
1.447628E-06	55256
1.447258E-06	55556
1.447259E-06	55856
1.447007E-06	56156
1.446777E-06	56456
1.446721E-06	56756
1.446509E-06	57056
1.446284E-06	57356
1.446033E-06	57656
1.445935E-06	57956
1.445535E-06	58256
1.445556E-06	58556
1.445486E-06	58856
1.445413E-06	59156
1.445299E-06	59456
1.445243E-06	59756
1.445025E-06	60056
1.444620E-06	60356
