S130C	2015-10-20 08:00:30
value unit [W]	time unit [ms]
wavelength	532.000nm
range	AUTO
3.248866E-03	247
3.255341E-03	547
3.256170E-03	847
3.251293E-03	1147
3.249867E-03	1447
3.248355E-03	1747
3.247948E-03	2047
3.251927E-03	2347
3.255989E-03	2647
3.256274E-03	2947
3.255891E-03	3247
3.255802E-03	3547
3.256600E-03	3847
3.256731E-03	4147
3.224495E-03	4447
3.220850E-03	4747
3.224994E-03	5047
3.223985E-03	5347
3.210622E-03	5647
3.200900E-03	5947
3.189092E-03	6247
3.181300E-03	6547
3.175416E-03	6847
3.168528E-03	7148
3.161390E-03	7448
3.154257E-03	7748
3.145422E-03	8048
3.114137E-03	8348
3.094926E-03	8648
3.093215E-03	8948
3.090397E-03	9248
3.087065E-03	9548
3.083566E-03	9848
3.080058E-03	10148
3.076824E-03	10448
3.073927E-03	10748
3.071255E-03	11048
3.068627E-03	11348
3.066242E-03	11648
3.063805E-03	11948
3.061452E-03	12248
3.059033E-03	12548
3.056796E-03	12848
3.054654E-03	13148
3.052494E-03	13448
3.050487E-03	13748
3.048627E-03	14048
3.046888E-03	14348
3.045252E-03	14648
3.043862E-03	14949
3.042537E-03	15249
3.041375E-03	15549
3.040365E-03	15849
3.039425E-03	16149
3.038320E-03	16449
3.037317E-03	16749
3.036210E-03	17049
3.035111E-03	17349
3.034089E-03	17649
3.033015E-03	17949
3.032033E-03	18249
3.031198E-03	18549
3.030369E-03	18849
3.029533E-03	19149
3.028682E-03	19449
3.027771E-03	19749
3.026655E-03	20049
3.025387E-03	20349
3.024035E-03	20649
3.022862E-03	20949
3.021680E-03	21249
3.021152E-03	21549
3.021126E-03	21849
3.021477E-03	22149
3.022062E-03	22449
3.022911E-03	22750
3.024059E-03	23050
3.025206E-03	23350
3.026599E-03	23650
3.028019E-03	23950
3.029418E-03	24250
3.030762E-03	24550
3.032357E-03	24850
3.033940E-03	25150
3.035483E-03	25450
3.037223E-03	25750
3.038885E-03	26050
3.040341E-03	26350
3.041589E-03	26650
3.043222E-03	26950
3.044850E-03	27250
3.046638E-03	27550
3.048250E-03	27850
3.050202E-03	28150
3.052316E-03	28450
3.054299E-03	28750
3.056282E-03	29050
3.058447E-03	29350
3.060661E-03	29650
3.062880E-03	29950
3.065207E-03	30252
3.067519E-03	30552
3.069870E-03	30852
3.072308E-03	31152
3.074789E-03	31452
3.077313E-03	31758
3.079746E-03	32060
3.082103E-03	32360
3.084364E-03	32660
3.086721E-03	32960
3.088896E-03	33260
3.091176E-03	33560
3.093422E-03	33860
3.095512E-03	34160
3.097597E-03	34460
3.099600E-03	34760
3.101620E-03	35060
3.103700E-03	35360
3.105724E-03	35660
3.107719E-03	35960
3.109775E-03	36260
3.111802E-03	36560
3.113589E-03	36860
3.115422E-03	37160
3.117272E-03	37460
3.119157E-03	37760
3.120858E-03	38062
3.122618E-03	38361
3.124326E-03	38662
3.125935E-03	38961
3.127455E-03	39262
3.129094E-03	39561
3.130609E-03	39862
3.131913E-03	40161
3.133277E-03	40462
3.134592E-03	40761
3.135923E-03	41062
3.137207E-03	41361
3.138257E-03	41662
3.139473E-03	41961
3.140560E-03	42262
3.141679E-03	42561
3.142666E-03	42862
3.143660E-03	43161
3.144650E-03	43462
3.145468E-03	43761
3.146352E-03	44062
3.147116E-03	44361
3.147932E-03	44662
3.148735E-03	44961
3.149429E-03	45262
3.150110E-03	45562
3.150838E-03	45863
3.151543E-03	46162
3.152205E-03	46463
3.153009E-03	46762
3.153707E-03	47063
3.154483E-03	47362
3.155067E-03	47663
3.155759E-03	47962
3.156376E-03	48263
3.157149E-03	48562
3.157954E-03	48863
3.158706E-03	49162
3.159342E-03	49463
3.160124E-03	49762
3.160859E-03	50063
3.161542E-03	50362
3.162347E-03	50663
3.162971E-03	50962
3.163744E-03	51263
3.164434E-03	51562
3.165250E-03	51863
3.165891E-03	52162
3.166667E-03	52463
3.167370E-03	52762
3.168075E-03	53063
3.168857E-03	53363
3.169540E-03	53664
3.170317E-03	53963
3.171047E-03	54264
3.171773E-03	54563
3.172472E-03	54864
3.173097E-03	55163
3.173787E-03	55464
3.174444E-03	55763
3.175216E-03	56064
3.175813E-03	56363
3.176464E-03	56664
3.177153E-03	56963
3.177803E-03	57264
3.178352E-03	57563
3.178937E-03	57864
3.179555E-03	58163
3.180229E-03	58464
3.180818E-03	58763
3.181352E-03	59064
3.181835E-03	59363
3.182324E-03	59664
3.182771E-03	59963
3.183141E-03	60264
3.183470E-03	60563
3.183767E-03	60864
3.183961E-03	61164
3.184178E-03	61465
3.184281E-03	61764
3.184498E-03	62065
3.184669E-03	62364
3.184974E-03	62671
3.185189E-03	62970
3.185492E-03	63271
3.185884E-03	63570
3.186224E-03	63871
3.186565E-03	64170
3.186960E-03	64471
3.187486E-03	64770
3.187840E-03	65071
3.188232E-03	65370
3.188586E-03	65671
3.189094E-03	65970
3.189859E-03	66271
3.190304E-03	66570
3.190757E-03	66871
3.191105E-03	67170
3.191557E-03	67471
3.191994E-03	67770
3.192423E-03	68071
3.192842E-03	68370
3.193206E-03	68675
3.193635E-03	68972
3.194058E-03	69274
3.194454E-03	69572
3.194814E-03	69874
3.195267E-03	70172
3.195611E-03	70474
3.196044E-03	70772
3.196418E-03	71074
3.196718E-03	71372
3.197136E-03	71675
3.197490E-03	71972
3.197848E-03	72274
3.198141E-03	72572
3.198413E-03	72874
3.198755E-03	73172
3.199053E-03	73474
3.199380E-03	73772
3.199604E-03	74074
3.199789E-03	74372
3.200051E-03	74675
3.200155E-03	74972
3.200385E-03	75274
3.200673E-03	75572
3.200795E-03	75874
3.200959E-03	76172
3.201083E-03	76474
3.201330E-03	76773
3.201426E-03	77074
3.201582E-03	77373
3.201811E-03	77675
3.201918E-03	77973
3.202024E-03	78274
3.202204E-03	78573
3.202260E-03	78874
3.202377E-03	79173
3.202528E-03	79474
3.202666E-03	79773
3.202683E-03	80074
3.202758E-03	80373
3.202862E-03	80675
3.202867E-03	80973
3.202955E-03	81274
3.203069E-03	81573
3.203098E-03	81874
3.203066E-03	82173
3.203153E-03	82474
3.203152E-03	82773
3.203139E-03	83074
3.203203E-03	83373
3.203117E-03	83675
3.203118E-03	83974
3.203167E-03	84274
3.203301E-03	84574
3.203234E-03	84874
3.203237E-03	85174
3.203465E-03	85474
3.203444E-03	85774
3.203588E-03	86074
3.203678E-03	86374
3.203899E-03	86675
3.204001E-03	86974
3.204245E-03	87274
3.204386E-03	87574
3.204554E-03	87874
3.204769E-03	88174
3.204969E-03	88474
3.205131E-03	88774
3.205271E-03	89074
3.205405E-03	89374
3.205613E-03	89675
3.205947E-03	89974
3.206057E-03	90274
3.206254E-03	90574
3.206374E-03	90874
3.206511E-03	91174
3.206694E-03	91474
3.206824E-03	91775
3.207018E-03	92075
3.207170E-03	92375
3.207351E-03	92675
3.207438E-03	92975
3.207607E-03	93275
3.207718E-03	93581
3.207923E-03	93881
3.208061E-03	94181
3.208173E-03	94481
3.208347E-03	94781
3.208564E-03	95081
3.208598E-03	95381
3.208800E-03	95681
3.208907E-03	95981
3.209122E-03	96281
3.209155E-03	96581
3.209278E-03	96881
3.209437E-03	97181
3.209549E-03	97481
3.209667E-03	97781
3.209862E-03	98081
3.210010E-03	98381
3.210060E-03	98681
3.210207E-03	98981
3.210320E-03	99281
3.210444E-03	99582
3.210566E-03	99882
3.210626E-03	100182
3.210768E-03	100482
3.210922E-03	100782
3.211052E-03	101082
3.211147E-03	101382
3.211214E-03	101682
3.211317E-03	101982
3.211422E-03	102282
3.211566E-03	102582
3.211651E-03	102882
3.211682E-03	103182
3.211838E-03	103482
3.211916E-03	103782
3.212002E-03	104082
3.212103E-03	104382
3.212133E-03	104682
3.212206E-03	104982
3.212339E-03	105282
3.212420E-03	105582
