#Data from 2015-10-22 at 11:12:9,,
Timestamp,PMT,
1927568097,0.006,
1927568197,0.003,100
1927568297,0.003,100
1927568397,0.003,100
1927568497,0.009,100
1927568597,0.003,100
1927568697,0.003,100
1927568797,0.003,100
1927568897,0.003,100
1927568997,0.003,100
1927569097,0.003,100
1927569197,0.003,100
1927569297,0.003,100
1927569397,0.003,100
1927569497,0.022,100
1927569597,0.003,100
1927569697,0.003,100
1927569797,0.003,100
1927569897,0.003,100
1927569997,0.003,100
1927570097,0.003,100
1927570197,0.003,100
1927570297,0.003,100
1927570397,0.003,100
1927570497,0.003,100
1927570597,0.003,100
1927570697,0.006,100
1927570797,0.003,100
1927570897,0.003,100
1927570997,0.006,100
1927571097,0.003,100
1927571197,0.006,100
1927571297,0.003,100
1927571397,0.006,100
1927571497,0.003,100
1927571597,0.003,100
1927571697,0.003,100
1927571797,0.009,100
1927571897,0.003,100
1927571997,0.006,100
1927572097,0.003,100
1927572197,0.022,100
1927572297,0.006,100
1927572397,0.003,100
1927572497,0.012,100
1927572597,0.003,100
1927572697,0.006,100
1927572797,0.003,100
1927572897,0.003,100
1927572997,0.003,100
1927573097,0.003,100
1927573197,0.003,100
1927573297,0.003,100
1927573397,0.006,100
1927573497,0.003,100
1927573597,0.003,100
1927573697,0.003,100
1927573797,0.006,100
1927573897,0.003,100
1927573997,0.003,100
1927574097,0.016,100
1927574197,0.012,100
1927574297,0.003,100
1927574397,0.003,100
1927574497,0.006,100
1927574597,0.003,100
1927574697,0.003,100
1927574797,0.006,100
1927574897,0.003,100
1927574997,0.003,100
1927575097,0.003,100
1927575197,0.006,100
1927575297,0.003,100
1927575397,0.003,100
1927575497,0.003,100
1927575597,0.003,100
1927575697,0.003,100
1927575797,0.006,100
1927575897,0.003,100
1927575997,0.003,100
1927576097,0.003,100
1927576197,0.003,100
1927576297,0.003,100
1927576397,0.003,100
1927576497,0.003,100
1927576597,0.003,100
1927576697,0.003,100
1927576797,0.003,100
1927576897,0.003,100
1927576997,0.003,100
1927577097,0.003,100
1927577197,0.003,100
1927577297,0.003,100
1927577397,0.003,100
1927577497,0.006,100
1927577597,0.003,100
1927577697,0.006,100
1927577797,0.003,100
1927577897,0.006,100
1927577997,0.006,100
1927578097,0.003,100
1927578197,0.003,100
1927578297,0.016,100
1927578397,0.003,100
1927578497,0.006,100
1927578597,0.003,100
1927578697,0.003,100
1927578797,0.003,100
1927578897,0.003,100
1927578997,0.003,100
1927579097,0.006,100
1927579197,0.009,100
1927579297,0.006,100
1927579397,0.003,100
1927579497,0.006,100
1927579597,0.003,100
1927579697,0.003,100
1927579797,0.006,100
1927579897,0.003,100
1927579997,0.003,100
1927580097,0.003,100
1927580197,0.009,100
1927580297,0.006,100
1927580397,0.003,100
1927580497,0.003,100
1927580597,0.003,100
1927580697,0.009,100
1927580797,0.003,100
1927580897,0.003,100
1927580997,0.003,100
1927581097,0.016,100
1927581197,0.003,100
1927581297,0.003,100
1927581397,0.003,100
1927581497,0.003,100
1927581597,0.003,100
1927581697,0.009,100
1927581797,0.003,100
1927581897,0.003,100
1927581997,0.003,100
1927582097,0.003,100
1927582197,0.006,100
1927582297,0.003,100
1927582397,0.003,100
1927582497,0.009,100
1927582597,0.003,100
1927582697,0.003,100
1927582797,0.006,100
1927582897,0.003,100
1927582997,0.012,100
1927583097,0.003,100
1927583197,0.006,100
1927583297,0.003,100
1927583397,0.003,100
1927583497,0.003,100
1927583597,0.003,100
1927583697,0.006,100
1927583797,0.003,100
1927583897,0.003,100
1927583997,0.003,100
1927584097,0.006,100
1927584197,0.006,100
1927584297,0.003,100
1927584397,0.003,100
1927584497,0.003,100
1927584597,0.003,100
1927584697,0.003,100
1927584797,0.003,100
1927584897,0.003,100
1927584997,0.003,100
1927585097,0.003,100
1927585197,0.003,100
1927585297,0.003,100
1927585397,0.003,100
1927585497,0.003,100
1927585597,0.003,100
1927585697,0.003,100
1927585797,0.003,100
1927585897,0.006,100
1927585997,0.009,100
1927586097,0.003,100
1927586197,0.003,100
1927586297,0.003,100
1927586397,0.003,100
1927586497,0.003,100
1927586597,0.003,100
1927586697,0.003,100
1927586797,0.006,100
1927586897,0.003,100
1927586997,0.006,100
1927587097,0.003,100
1927587197,0.006,100
1927587297,0.003,100
1927587397,0.012,100
1927587497,0.003,100
1927587597,0.003,100
1927587697,0.006,100
1927587797,0.009,100
1927587897,0.003,100
1927587997,0.003,100
1927588097,0.006,100
1927588197,0.003,100
1927588297,0.003,100
1927588397,0.006,100
1927588497,0.003,100
1927588597,0.003,100
1927588697,0.006,100
1927588797,0.003,100
1927588897,0.003,100
1927588997,0.006,100
1927589097,0.003,100
1927589197,0.006,100
1927589297,0.003,100
1927589397,0.003,100
1927589497,0.003,100
1927589597,0.003,100
1927589697,0.003,100
1927589797,0.003,100
1927589897,0.012,100
1927589997,0.003,100
1927590097,0.003,100
1927590197,0.003,100
1927590297,0.006,100
1927590397,0.003,100
1927590497,0.003,100
1927590597,0.003,100
1927590697,0.006,100
1927590797,0.003,100
1927590897,0.003,100
1927590997,0.003,100
1927591097,0.003,100
1927591197,0.003,100
1927591297,0.003,100
1927591397,0.003,100
1927591497,0.003,100
1927591597,0.003,100
1927591697,0.003,100
1927591797,0.006,100
1927591897,0.003,100
1927591997,0.003,100
1927592097,0.003,100
1927592197,0.003,100
1927592297,0.003,100
1927592397,0.003,100
1927592497,0.003,100
1927592597,0.003,100
1927592697,0.003,100
1927592797,0.003,100
1927592897,0.003,100
1927592997,0.003,100
1927593097,0.006,100
1927593197,0.003,100
1927593297,0.003,100
1927593397,0.003,100
1927593497,0.003,100
1927593597,0.003,100
1927593697,0.003,100
1927593797,0.003,100
1927593897,0.003,100
1927593997,0.003,100
1927594097,0.006,100
1927594197,0.003,100
1927594297,0.003,100
1927594397,0.003,100
1927594497,0.003,100
1927594597,0.003,100
1927594697,0.003,100
1927594797,0.006,100
1927594897,0.003,100
1927594997,0.012,100
1927595097,0.006,100
1927595197,0.006,100
1927595297,0.012,100
1927595397,0.003,100
1927595497,0.003,100
1927595597,0.003,100
1927595697,0.003,100
1927595797,0.003,100
1927595897,0.009,100
1927595997,0.003,100
1927596097,0.003,100
1927596197,0.003,100
1927596297,0.003,100
1927596397,0.003,100
1927596497,0.003,100
1927596597,0.003,100
1927596697,0.003,100
1927596797,0.006,100
1927596897,0.003,100
1927596997,0.003,100
1927597097,0.003,100
1927597197,0.009,100
1927597297,0.009,100
1927597397,0.003,100
1927597497,0.003,100
1927597597,0.003,100
1927597697,0.003,100
1927597797,0.003,100
1927597897,0.003,100
1927597997,0.006,100
1927598097,0.003,100
1927598197,0.003,100
1927598297,0.003,100
1927598397,0.003,100
1927598497,0.003,100
1927598597,0.003,100
1927598697,0.003,100
1927598797,0.025,100
1927598897,0.003,100
1927598997,0.003,100
1927599097,0.003,100
1927599197,0.003,100
1927599297,0.029,100
1927599397,0.003,100
1927599497,0.003,100
1927599597,0.003,100
1927599697,0.003,100
1927599797,0.025,100
1927599897,0.003,100
1927599997,0.003,100
1927600097,0.003,100
1927600197,0.032,100
1927600297,0.003,100
1927600397,0.003,100
1927600497,0.003,100
1927600597,0.003,100
1927600697,0.003,100
1927600797,0.003,100
1927600897,0.003,100
1927600997,0.003,100
1927601097,0.003,100
1927601197,0.003,100
1927601297,0.003,100
1927601397,0.012,100
1927601497,0.003,100
1927601597,0.003,100
1927601697,0.003,100
1927601797,0.003,100
1927601897,0.003,100
1927601997,0.003,100
1927602097,0.003,100
1927602197,0.006,100
1927602297,0.003,100
1927602397,0.003,100
1927602497,0.003,100
1927602597,0.003,100
1927602697,0.003,100
1927602797,0.006,100
1927602897,0.003,100
1927602997,0.003,100
1927603097,0.003,100
1927603197,0.003,100
1927603297,0.003,100
1927603397,0.003,100
1927603497,0.003,100
1927603597,0.003,100
1927603697,0.003,100
1927603797,0.009,100
1927603897,0.003,100
1927603997,0.003,100
1927604097,0.003,100
1927604197,0.006,100
1927604297,0.006,100
1927604397,0.003,100
1927604497,0.003,100
1927604597,0.003,100
1927604697,0.003,100
1927604797,0.003,100
1927604897,0.006,100
1927604997,0.003,100
1927605097,0.003,100
1927605197,0.003,100
1927605297,0.006,100
1927605397,0.003,100
1927605497,0.003,100
1927605597,0.003,100
1927605697,0.006,100
1927605797,0.003,100
1927605897,0.003,100
1927605997,0.003,100
1927606097,0.003,100
1927606197,0.003,100
1927606297,0.003,100
1927606397,0.003,100
1927606497,0.003,100
1927606597,0.003,100
1927606697,0.006,100
1927606797,0.003,100
1927606897,0.003,100
1927606997,0.006,100
1927607097,0.003,100
1927607197,0.003,100
1927607297,0.006,100
1927607397,0.003,100
1927607497,0.003,100
1927607597,0.003,100
1927607697,0.003,100
1927607797,0.006,100
1927607897,0.003,100
1927607997,0.003,100
1927608097,0.003,100
1927608197,0.003,100
1927608297,0.003,100
1927608397,0.006,100
1927608497,0.003,100
1927608597,0.003,100
1927608697,0.003,100
1927608797,0.006,100
1927608897,0.003,100
1927608997,0.003,100
1927609097,0.003,100
1927609197,0.003,100
1927609297,0.003,100
1927609397,0.003,100
1927609497,0.006,100
1927609597,0.003,100
1927609697,0.003,100
1927609797,0.003,100
1927609897,0.003,100
1927609997,0.006,100
1927610097,0.003,100
1927610197,0.003,100
1927610297,0.003,100
1927610397,0.003,100
1927610497,0.003,100
1927610597,0.003,100
1927610697,0.016,100
1927610797,0.003,100
1927610897,0.003,100
1927610997,0.003,100
1927611097,0.003,100
1927611197,0.009,100
1927611297,0.003,100
1927611397,0.003,100
1927611497,0.016,100
1927611597,0.003,100
1927611697,0.006,100
1927611797,0.003,100
1927611897,0.003,100
1927611997,0.003,100
1927612097,0.003,100
1927612197,0.003,100
1927612297,0.003,100
1927612397,0.003,100
1927612497,0.003,100
1927612597,0.003,100
1927612697,0.006,100
1927612797,0.009,100
1927612897,0.003,100
1927612997,0.003,100
1927613097,0.003,100
1927613197,0.003,100
1927613297,0.003,100
1927613397,0.003,100
1927613497,0.009,100
1927613597,0.003,100
1927613697,0.012,100
1927613797,0.003,100
1927613897,0.003,100
1927613997,0.006,100
1927614097,0.012,100
1927614197,0.003,100
1927614297,0.003,100
1927614397,0.003,100
1927614497,0.006,100
1927614597,0.003,100
1927614697,0.003,100
1927614797,0.003,100
1927614897,0.006,100
1927614997,0.003,100
1927615097,0.025,100
1927615197,0.003,100
1927615297,0.003,100
1927615397,0.003,100
1927615497,0.003,100
1927615597,0.003,100
1927615697,0.003,100
1927615797,0.006,100
1927615897,0.003,100
1927615997,0.006,100
1927616097,0.003,100
1927616197,0.003,100
1927616297,0.003,100
1927616397,0.006,100
1927616497,0.003,100
1927616597,0.003,100
1927616697,0.003,100
1927616797,0.003,100
1927616897,0.003,100
1927616997,0.003,100
1927617097,0.003,100
1927617197,0.003,100
1927617297,0.003,100
1927617397,0.003,100
1927617497,0.006,100
1927617597,0.003,100
1927617697,0.003,100
1927617797,0.022,100
1927617897,0.003,100
1927617997,0.003,100
1927618097,0.003,100
1927618197,0.003,100
1927618297,0.003,100
1927618397,0.003,100
1927618497,0.003,100
1927618597,0.003,100
1927618697,0.003,100
1927618797,0.003,100
1927618897,0.003,100
1927618997,0.003,100
1927619097,0.003,100
1927619197,0.003,100
1927619297,0.003,100
1927619397,0.003,100
1927619497,0.003,100
1927619597,0.003,100
1927619697,0.003,100
1927619797,0.003,100
1927619897,0.003,100
1927619997,0.003,100
1927620097,0.003,100
1927620197,0.003,100
1927620297,0.003,100
1927620397,0.003,100
1927620497,0.003,100
1927620597,0.003,100
1927620697,0.003,100
1927620797,0.003,100
1927620897,0.003,100
1927620997,0.003,100
1927621097,0.003,100
1927621197,0.003,100
1927621297,0.003,100
1927621397,0.003,100
1927621497,0.003,100
1927621597,0.003,100
1927621697,0.003,100
1927621797,0.003,100
1927621897,0.003,100
1927621997,0.006,100
1927622097,0.003,100
1927622197,0.003,100
