#Data from 2015-7-22 at 15:17:10
Timestamp,PMT,PeakDetector
3433115762.0,0.0,0.087
3433123161.0,0.0,0.087
3433130562.0,0.0,0.087
3433137961.0,0.0,0.087
3433145365.0,0.0,0.087
3433152763.0,0.0,0.087
3433160165.0,0.0,0.087
3433167562.0,0.0,0.087
3433174962.0,0.0,0.087
3433182362.0,0.0,0.087
3433189761.0,0.0,0.087
3433197162.0,0.0,0.087
3433204562.0,0.0,0.083
3433211962.0,0.0,0.087
3433219361.0,0.0,0.087
3433226762.0,0.0,0.087
3433234161.0,0.0,0.087
3433241561.0,0.0,0.087
3433248961.0,0.0,0.087
3433256362.0,0.0,0.087
3433263761.0,0.0,0.087
3433271162.0,0.0,0.087
3433278562.0,0.0,0.087
3433285961.0,0.0,0.083
3433293364.0,0.0,0.087
3433300762.0,0.0,0.087
3433308161.0,0.0,0.087
3433315561.0,0.0,0.087
3433322961.0,0.0,0.087
3433330364.0,0.0,0.087
3433337764.0,0.0,0.083
3433345161.0,0.0,0.087
3433352562.0,0.0,0.087
3433359962.0,0.0,0.083
3433367362.0,0.0,0.087
3433374762.0,0.0,0.087
3433382162.0,0.0,0.087
3433389562.0,0.0,0.087
3433396962.0,0.0,0.087
3433404362.0,0.0,0.087
3433411762.0,0.0,0.087
3433419161.0,0.0,0.087
3433426562.0,0.0,0.087
3433433962.0,0.0,0.083
3433441362.0,0.0,0.087
3433448762.0,0.0,0.087
3433456161.0,0.0,0.083
3433463562.0,0.0,0.087
3433470962.0,0.0,0.083
3433478365.0,0.0,0.087
3433485761.0,0.0,0.087
3433493161.0,0.0,0.087
3433500561.0,0.0,0.087
3433507961.0,0.0,0.087
3433515362.0,0.0,0.087
3433522764.0,0.0,0.087
3433530162.0,0.0,0.087
3433537561.0,0.0,0.087
3433544962.0,0.0,0.087
3433552362.0,0.0,0.087
3433559764.0,0.0,0.087
3433567162.0,0.0,0.087
3433574562.0,0.0,0.087
3433581961.0,0.0,0.087
3433589365.0,0.0,0.087
3433596762.0,0.0,0.087
3433604162.0,0.0,0.087
3433611561.0,0.0,0.083
3433618962.0,0.0,0.087
3433626365.0,0.0,0.083
3433633764.0,0.0,0.087
3433641163.0,0.0,0.087
3433648561.0,0.0,0.087
3433655962.0,0.0,0.087
3433663362.0,0.0,0.087
3433670762.0,0.0,0.087
3433678163.0,0.0,0.087
3433685561.0,0.0,0.087
3433692962.0,0.0,0.087
3433700362.0,0.0,0.083
3433707762.0,0.0,0.087
3433715161.0,0.0,0.087
3433722561.0,0.0,0.087
3433729962.0,0.0,0.083
3433737365.0,0.0,0.087
3433744763.0,0.0,0.087
3433752162.0,0.0,0.087
3433759562.0,0.0,0.087
3433766961.0,0.0,0.087
3433774362.0,0.0,0.087
3433781762.0,0.0,0.087
3433789161.0,0.0,0.087
3433796561.0,0.0,0.087
3433803962.0,0.0,0.087
3433811362.0,0.0,0.087
3433818762.0,0.0,0.087
3433826161.0,0.0,0.087
3433833562.0,0.0,0.087
3433840961.0,0.0,0.087
3433848364.0,0.0,0.087
3433855764.0,0.0,0.087
3433863161.0,0.0,0.087
3433870562.0,0.0,0.087
3433877962.0,0.0,0.087
3433885365.0,0.0,0.087
3433892762.0,0.0,0.087
3433900161.0,0.0,0.087
3433907562.0,0.0,0.087
3433914962.0,0.0,0.087
3433922365.0,0.0,0.087
3433929762.0,0.0,0.087
3433937161.0,0.0,0.087
3433944561.0,0.0,0.087
3433951962.0,0.0,0.087
3433959362.0,0.0,0.087
3433966762.0,0.0,0.087
3433974162.0,0.0,0.087
3433981561.0,0.0,0.087
3433988961.0,0.0,0.087
3433996365.0,0.0,0.087
3434003763.0,0.0,0.087
3434011162.0,0.0,0.087
3434018561.0,0.0,0.087
3434025962.0,0.0,0.087
3434033365.0,0.0,0.087
3434040764.0,0.0,0.087
3434048161.0,0.0,0.087
3434055562.0,0.0,0.087
3434062961.0,0.0,0.087
3434070362.0,0.0,0.087
3434077762.0,0.0,0.087
3434085165.0,0.0,0.087
3434092562.0,0.0,0.087
3434099961.0,0.0,0.087
3434107362.0,0.0,0.087
3434114761.0,0.0,0.083
3434122161.0,0.0,0.087
3434129562.0,0.0,0.087
3434136964.0,0.0,0.087
3434144362.0,0.0,0.087
3434151763.0,0.0,0.083
3434159162.0,0.0,0.087
3434166561.0,0.0,0.087
3434173962.0,0.0,0.087
3434181362.0,0.0,0.087
3434188762.0,0.0,0.087
3434196161.0,0.0,0.087
3434203561.0,0.0,0.087
3434210962.0,0.0,0.087
3434218362.0,0.0,0.087
3434225764.0,0.0,0.087
3434233162.0,0.0,0.087
3434240562.0,0.0,0.087
3434247961.0,0.0,0.087
3434255362.0,0.0,0.087
3434262762.0,0.0,0.087
3434270161.0,0.0,0.087
3434277562.0,0.0,0.087
3434284961.0,0.0,0.087
3434292362.0,0.0,0.087
3434299762.0,0.0,0.087
3434307162.0,0.0,0.087
3434314562.0,0.0,0.087
3434321964.0,0.0,0.087
3434329362.0,0.0,0.087
3434336764.0,0.0,0.083
3434344161.0,0.0,0.083
3434351563.0,0.0,0.087
3434358961.0,0.0,0.087
3434366365.0,0.0,0.087
3434373764.0,0.0,0.087
3434381161.0,0.0,0.087
3434388561.0,0.0,0.087
3434395962.0,0.0,0.083
3434403365.0,0.0,0.087
3434410764.0,0.0,0.087
3434418161.0,0.0,0.087
3434425562.0,0.0,0.087
3434432961.0,0.0,0.087
3434440362.0,0.0,0.087
3434447762.0,0.0,0.087
3434455162.0,0.0,0.087
3434462561.0,0.0,0.087
3434469961.0,0.0,0.087
3434477362.0,0.0,0.087
3434484761.0,0.0,0.083
3434492162.0,0.0,0.087
3434499562.0,0.0,0.083
3434506962.0,0.0,0.087
3434514362.0,0.0,0.087
3434521762.0,0.0,0.087
3434529162.0,0.0,0.087
3434536562.0,0.0,0.087
3434543961.0,0.0,0.087
3434551365.0,0.0,0.087
3434558761.0,0.0,0.087
3434566162.0,0.0,0.087
3434573562.0,0.0,0.087
3434580961.0,0.0,0.087
3434588364.0,0.0,0.087
3434595761.0,0.0,0.087
3434603161.0,0.0,0.087
3434610561.0,0.0,0.087
3434617961.0,0.0,0.087
3434625364.0,0.0,0.087
3434632762.0,0.0,0.087
3434640161.0,0.0,0.087
3434647562.0,0.0,0.087
3434654962.0,0.0,0.087
3434662362.0,0.0,0.087
3434669764.0,0.0,0.087
3434677162.0,0.0,0.087
3434684562.0,0.0,0.087
3434691961.0,0.0,0.087
3434699365.0,0.0,0.087
3434706764.0,0.0,0.087
3434714161.0,0.0,0.087
3434721561.0,0.0,0.083
3434728962.0,0.0,0.087
3434736365.0,0.0,0.087
3434743762.0,0.0,0.083
3434751161.0,0.0,0.083
3434758561.0,0.0,0.087
3434765961.0,0.0,0.087
3434773362.0,0.0,0.087
3434780764.0,0.0,0.087
3434788161.0,0.0,0.087
3434795562.0,0.0,0.087
3434802964.0,0.0,0.087
3434810365.0,0.0,0.087
3434817762.0,0.0,0.087
3434825165.0,0.0,0.087
3434832562.0,0.0,0.087
3434839962.0,0.0,0.087
3434847361.0,0.0,0.087
3434854764.0,0.0,0.087
